Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,165.4,165.65,165.9,166.45,167.0,167.65,168.3,169.05,169.8,169.45,169.1,169.45
2000,169.8,171.5,173.2,172.85,172.5,173.65,174.8,174.9,175.0,175.15,175.3,175.6
2001,175.9,176.55,177.2,177.6,178.0,178.6,179.2,180.05,180.9,180.2,179.5,179.75
2002,180.0,180.95,181.9,182.75,183.6,183.9,184.2,185,185.8,185.6,185.4,185.85
2003,186.3,187.55,188.8,188.75,188.7,189.45,190.2,190.5,190.8,190.6,190.4,190.55
2004,190.7,191.75,192.8,193.45,194.1,194.75,195.4,195.95,196.5,196.85,197.2,197.7
2005,198.2,199.3,200.4,201.1,201.8,202.3,202.8,204.2,205.6,204.95,204.3,204.95
2006,205.6,206,206.4,207.75,209.1,210.25,211.4,211.3,211.2,210.65,210.1,210.6005
2007,211.101,212.778,214.455,215.276,216.097,216.6475,217.198,217.8275,218.457,218.394,218.331,219.459
2008,220.587,221.5705,222.554,223.5395,224.525,226.7215,228.918,228.8945,228.871,226.22,223.569,222.6995
2009,221.830,222.23,222.630,223.1065,223.583,224.8335,226.084,226.6325,227.181,226.857,226.533,226.9865
2010,227.440,227.96,228.480,228.554,228.628,228.53,228.432,229.522,230.612,230.5715,230.531,231.6505
2011,232.770,233.976,235.182,236.265,237.348,237.7695,238.191,238.458,238.725,238.45,238.175,238.5845
2012,238.994,240.6145,242.235,242.3405,242.446,242.095,241.744,243.232,244.720,243.9595,243.199,243.336
2013,243.473,244.475,245.477,245.488,245.499,245.8385,246.178,247.008,247.838,247.551,247.264,247.4715
2014,247.679,248.635,249.591,250.017,250.443,250.3845,250.326,250.48,250.634,250.303,249.972,248.5495
2015,247.127,248.556,249.985,250.905,251.825,251.4085,250.992,251.684,252.376,251.8515,251.327,251.067
2016,250.807,251.7625,252.718,253.784,254.850,254.5775,254.305,253.909,253.513,253.751,253.989,254.242
2017,254.495,254.965,255.435,255.4685,255.502,255.51,255.518,256.667,257.816,257.844,257.872,259.0455
2018,260.219,260.1225,260.026,260.898,261.770,261.893,262.016,262.536,263.056,262.088,261.120,261.712
2019,262.304,263.2805,264.257,265.112,265.967,265.5685,265.170,265.335,265.500,265.263,265.026,265.7295
2020,266.433,265.909,265.385,265.559,265.733,266.51,267.287,268.0375,268.788,268.744,268.700,269.6175
2021,270.535,271.441,272.347,274.0845,275.822,277.4605,279.099,280.016,280.933,282.5865,284.240,285.459
2022,286.678,289.4525,292.227,294.393,296.559,298.248,299.937,299.6025,299.268,299.6765,300.085,299.617
2023,299.149,301.0395,302.930,304.272,305.614,305.4435,305.273,307.2635,309.254,308.8365,308.419,309.19
2024,309.961,311.5345,313.108,314.3875,315.667,316.056,316.445,316.9135,317.382,317.0635,316.745,316.745
