Date,Year,Month,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate
2000-01-01,2000,1,5.7,169.8,5.45,8.21,179200.9293,1.5,41220.0,572.046,17.5,3.9200000000000004,3.3600000000000008
2000-02-01,2000,2,5.7,171.5,5.73,8.325,179346.6336,1.5,41771.02815433016,572.046,17.5,3.9200000000000004,3.2000000000000006
2000-03-01,2000,3,5.7,173.2,5.85,8.24,179615.1761,6.89244083540085,42158.64746186508,572.046,17.5,4.41,3.2000000000000006
2000-04-01,2000,4,5.6,172.85,6.02,8.1525,180223.2337,8.594817136419756,42447.39324137697,572.046,17.5,4.9,3.0400000000000005
2000-05-01,2000,5,5.6,172.5,6.27,8.515,181147.5845,7.5,42614.01698458552,572.046,17.5,5.390000000000001,3.0400000000000005
2000-06-01,2000,6,5.6,173.65,6.53,8.288,182260.1663,4.859769874218148,42681.005719893576,572.046,17.5,6.370000000000001,3.0400000000000005
2000-07-01,2000,7,5.6,174.8,6.54,8.1475,183644.4525,2.112562833836227,42654.92962225873,572.046,17.5,6.86,3.2000000000000006
2000-08-01,2000,8,5.7,174.9,6.5,8.0275,185187.0921,0.4,42545.42906402762,572.046,17.5,5.88,3.2000000000000006
2000-09-01,2000,9,5.7,175.0,6.52,7.912000000000001,186771.6998,0.687335890554935,42363.58519979418,572.046,17.5,4.9,3.3600000000000008
2000-10-01,2000,10,5.7,175.15,6.51,7.795,188359.2,1.843024164282882,42129.73852508708,572.046,17.5,4.41,3.3600000000000008
2000-11-01,2000,11,5.8,175.3,6.51,7.745,189915.623,2.4,41839.67804044809,572.046,17.5,3.9200000000000004,3.2000000000000006
2000-12-01,2000,12,5.9,175.6,6.4,7.382,191629.4828,1.3237094853757143,41523.00935437982,572.046,17.5,3.9200000000000004,3.2000000000000006
2001-01-01,2001,1,5.9,175.9,5.98,7.0325,193160.2403,-0.44149252293947955,41170.0,574.504,18.1,4.960000000000001,3.045
2001-02-01,2001,2,6.0,176.55,5.49,7.05,194520.9875,-1.3,40802.34821072843,574.504,18.1,4.960000000000001,2.9
2001-03-01,2001,3,6.1,177.2,5.31,6.952,195901.4356,-0.3834282191640781,40467.41467694319,574.504,18.1,5.58,2.9
