Date,Year,Month,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate,Unemployment_Rate_lag1,Unemployment_Rate_lag3,Unemployment_Rate_lag6,Unemployment_Rate_lag12,CPI_lag1,CPI_lag3,CPI_lag6,CPI_lag12,Interest_Rate_lag1,Interest_Rate_lag3,Interest_Rate_lag6,Interest_Rate_lag12,Mortgage_Rate_lag1,Mortgage_Rate_lag3,Mortgage_Rate_lag6,Mortgage_Rate_lag12,ZHVI_lag1,ZHVI_lag3,ZHVI_lag6,ZHVI_lag12,GDP_Growth_lag1,GDP_Growth_lag3,GDP_Growth_lag6,GDP_Growth_lag12,Median_Household_Income_lag1,Median_Household_Income_lag3,Median_Household_Income_lag6,Median_Household_Income_lag12,Population_lag1,Population_lag3,Population_lag6,Population_lag12,Poverty_Rate_lag1,Poverty_Rate_lag3,Poverty_Rate_lag6,Poverty_Rate_lag12,Marriage_Rate_lag1,Marriage_Rate_lag3,Marriage_Rate_lag6,Marriage_Rate_lag12,Divorce_Rate_lag1,Divorce_Rate_lag3,Divorce_Rate_lag6,Divorce_Rate_lag12,Unemployment_Rate_ma3,Unemployment_Rate_ma6,Unemployment_Rate_ma12,CPI_ma3,CPI_ma6,CPI_ma12,Interest_Rate_ma3,Interest_Rate_ma6,Interest_Rate_ma12,Mortgage_Rate_ma3,Mortgage_Rate_ma6,Mortgage_Rate_ma12,ZHVI_ma3,ZHVI_ma6,ZHVI_ma12,GDP_Growth_ma3,GDP_Growth_ma6,GDP_Growth_ma12,Median_Household_Income_ma3,Median_Household_Income_ma6,Median_Household_Income_ma12,Population_ma3,Population_ma6,Population_ma12,Poverty_Rate_ma3,Poverty_Rate_ma6,Poverty_Rate_ma12,Marriage_Rate_ma3,Marriage_Rate_ma6,Marriage_Rate_ma12,Divorce_Rate_ma3,Divorce_Rate_ma6,Divorce_Rate_ma12,Unemployment_Rate_mom_pct,Unemployment_Rate_yoy_pct,Unemployment_Rate_3m_pct,CPI_mom_pct,CPI_yoy_pct,CPI_3m_pct,Interest_Rate_mom_pct,Interest_Rate_yoy_pct,Interest_Rate_3m_pct,Mortgage_Rate_mom_pct,Mortgage_Rate_yoy_pct,Mortgage_Rate_3m_pct,ZHVI_mom_pct,ZHVI_yoy_pct,ZHVI_3m_pct,GDP_Growth_mom_pct,GDP_Growth_yoy_pct,GDP_Growth_3m_pct,Median_Household_Income_mom_pct,Median_Household_Income_yoy_pct,Median_Household_Income_3m_pct,Population_mom_pct,Population_yoy_pct,Population_3m_pct,Poverty_Rate_mom_pct,Poverty_Rate_yoy_pct,Poverty_Rate_3m_pct,Marriage_Rate_mom_pct,Marriage_Rate_yoy_pct,Marriage_Rate_3m_pct,Divorce_Rate_mom_pct,Divorce_Rate_yoy_pct,Divorce_Rate_3m_pct,interest_unemployment,mortgage_income,cpi_unemployment,price_to_income,monthly_payment,payment_to_income,real_mortgage_rate,month_sin,month_cos,winter,spring,summer,fall,zhvi_trend,zhvi_seasonal,zhvi_residual,zhvi_diff1,cpi_diff1,mortgage_rate_diff1
2001-01-01,2001,1,5.9,175.9,5.98,7.0325,193160.2403,-0.4414925229394795,41170.0,574.504,18.1,4.960000000000001,3.045,5.9,5.7,5.6,5.7,175.6,175.15,174.8,169.8,6.4,6.51,6.54,5.45,7.382,7.795,8.1475,8.21,191629.4828,188359.2,183644.4525,179200.9293,1.3237094853757143,1.843024164282882,2.112562833836227,1.5,41523.00935437982,42129.73852508708,42654.92962225873,41220.0,572.046,572.046,572.046,572.046,17.5,17.5,17.5,17.5,3.92,4.41,6.86,3.92,3.2000000000000006,3.3600000000000008,3.2000000000000006,3.3600000000000008,5.866666666666667,5.783333333333334,5.708333333333333,175.6,175.30833333333337,174.19583333333333,6.296666666666667,6.403333333333333,6.28,7.386500000000001,7.649000000000001,7.963500000000001,191568.44869999998,189170.55633333334,185105.048725,1.0940723208120782,1.0354295028790086,3.139347308095753,41510.89579827597,41928.57336395613,42158.205114003904,572.8653333333333,572.4556666666667,572.2508333333334,17.7,17.599999999999998,17.55,4.266666666666667,4.665,4.986666666666667,3.1483333333333334,3.2275000000000005,3.1737500000000005,0.0,3.5087719298245723,3.5087719298245723,0.17084282460138045,3.5924617196702036,0.4282043962317905,-6.562499999999993,9.724770642201829,-8.141321044546846,-4.734489298293143,-14.342265529841669,-9.781911481719053,0.7988110585246622,7.789753688515066,2.5488748624967528,-133.35267502553015,-129.43283486263198,-123.95478754405065,-0.8501535892233791,-0.12130033964095066,-2.2780547866813383,0.4296857245746022,0.4296857245746022,0.4296857245746022,3.4285714285714475,3.4285714285714475,3.4285714285714475,26.530612244897988,26.530612244897988,12.471655328798192,-4.843750000000025,-9.375000000000021,-9.375000000000021,35.282000000000004,289528.02499999997,1037.8100000000002,4.691771685693467,1031.4549976168785,30.064270030125194,3.440038280329796,0.49999999999999994,0.8660254037844387,1,0,0,0,193228.25985833333,-801.2348558304382,733.215297497112,1530.757500000007,0.30000000000001137,-0.3494999999999999
2001-02-01,2001,2,6.0,176.55,5.49,7.05,194520.9875,-1.3,40802.34821072843,574.504,18.1,4.960000000000001,2.9,5.9,5.8,5.7,5.7,175.9,175.3,174.9,171.5,5.98,6.51,6.5,5.73,7.0325,7.745,8.0275,8.325,193160.2403,189915.623,185187.0921,179346.6336,-0.4414925229394795,2.4,0.4,1.5,41170.0,41839.67804044809,42545.42906402762,41771.02815433016,574.504,572.046,572.046,572.046,18.1,17.5,17.5,17.5,4.960000000000001,3.92,5.88,3.92,3.045,3.2000000000000006,3.2000000000000006,3.2000000000000006,5.933333333333334,5.833333333333333,5.733333333333333,176.01666666666665,175.58333333333334,174.61666666666667,5.956666666666667,6.234999999999999,6.259999999999999,7.1548333333333325,7.486083333333333,7.8572500000000005,193103.5702,190726.20556666667,186369.57821666668,-0.13926101252125522,0.7520961695456753,2.9060139747624194,41165.11918836942,41638.059888406264,42077.48178537042,573.6846666666667,572.8653333333333,572.4556666666666,17.900000000000002,17.7,17.599999999999998,4.613333333333334,4.511666666666667,5.073333333333333,3.0483333333333333,3.1775,3.14875,1.6949152542372836,5.263157894736836,3.4482758620689724,0.36952814098920594,2.9446064139941663,0.7130633200228109,-8.193979933110374,-4.188481675392675,-15.668202764976957,0.24884464984002985,-15.315315315315313,-8.973531310522919,0.7044654727528687,8.460908128247112,2.4249529487102794,194.45572290659294,-186.66666666666666,-154.16666666666669,-0.8930089610676983,-2.319023462919756,-2.4792968739310806,0.0,0.4296857245746022,0.4296857245746022,0.0,3.4285714285714475,3.4285714285714475,0.0,26.530612244897988,26.530612244897988,-4.761904761904767,-9.375000000000021,-9.375000000000021,32.94,287656.55488563544,1059.3000000000002,4.767396878615268,1040.5532339507142,30.60274556483829,4.1053935860058335,0.8660254037844386,0.5000000000000001,1,0,0,0,194980.05364166666,-652.9475532262675,193.8814115595976,1360.7471999999834,0.6500000000000057,0.01750000000000007
2001-03-01,2001,3,6.1,177.2,5.31,6.952,195901.4356,-0.3834282191640781,40467.41467694319,574.504,18.1,5.58,2.9,6.0,5.9,5.7,5.7,176.55,175.6,175.0,173.2,5.49,6.4,6.52,5.85,7.05,7.382,7.912000000000001,8.24,194520.9875,191629.4828,186771.6998,179615.1761,-1.3,1.3237094853757143,0.687335890554935,6.89244083540085,40802.34821072843,41523.00935437982,42363.58519979418,42158.64746186508,574.504,572.046,572.046,572.046,18.1,17.5,17.5,17.5,4.960000000000001,3.92,4.9,4.41,2.9,3.2000000000000006,3.3600000000000008,3.2000000000000006,6.0,5.8999999999999995,5.766666666666667,176.54999999999998,175.95000000000002,174.95000000000002,5.593333333333334,6.033333333333334,6.215,7.011500000000001,7.326083333333333,7.749916666666667,194527.55446666665,192247.8282,187726.76650833336,-0.7083069140345194,0.5736354845925065,2.2996915535486755,40813.25429589054,41322.031467931105,41936.54571996027,574.504,573.275,572.6605000000001,18.1,17.8,17.650000000000002,5.166666666666667,4.625000000000001,5.170833333333333,2.948333333333333,3.1008333333333336,3.12375,1.6666666666666607,7.017543859649122,3.3898305084745672,0.368167657887275,2.3094688221708903,0.9111617312072884,-3.2786885245901787,-9.230769230769232,-17.031250000000007,-1.3900709219858087,-15.631067961165046,-5.824979680303432,0.7096653773670525,9.06730703586689,2.2292774251541303,-70.50552160276322,-105.56302517962462,-128.96619110161078,-0.8208682795790012,-4.011591658512548,-2.5421921335893938,0.0,0.4296857245746022,0.4296857245746022,0.0,3.4285714285714475,3.4285714285714475,12.499999999999979,26.530612244897966,42.34693877551021,0.0,-9.375000000000021,-9.375000000000021,32.391,281329.46683410904,1080.9199999999998,4.840967409554267,1037.6224505668533,30.769125001446206,4.64253117782911,1.0,6.123233995736766e-17,0,1,0,0,196796.98862916665,-266.0244830873906,-629.5285460792604,1380.4481000000087,0.6499999999999773,-0.09799999999999986
2001-04-01,2001,4,6.1,177.6,4.8,7.0775,197649.402,1.4620467189244857,40104.19437682007,574.504,18.1,6.2,2.755,6.1,5.9,5.7,5.6,177.2,175.9,175.15,172.85,5.31,5.98,6.51,6.02,6.952,7.0325,7.795,8.1525,195901.4356,193160.2403,188359.2,180223.2337,-0.3834282191640781,-0.4414925229394795,1.843024164282882,8.594817136419756,40467.41467694319,41170.0,42129.73852508708,42447.39324137697,574.504,574.504,572.046,572.046,18.1,18.1,17.5,17.5,5.58,4.960000000000001,4.41,4.9,2.9,3.045,3.3600000000000008,3.0400000000000005,6.066666666666666,5.966666666666666,5.808333333333334,177.11666666666667,176.35833333333335,175.34583333333333,5.199999999999999,5.748333333333334,6.113333333333333,7.0264999999999995,7.206499999999999,7.660333333333334,196023.9417,193796.1952,189178.94720000002,-0.07379383341319763,0.5101392436994404,1.7052940187574028,40457.985754830566,40984.44077655327,41741.27914791386,574.504,573.6846666666667,572.8653333333333,18.1,17.900000000000002,17.7,5.580000000000001,4.923333333333334,5.279166666666668,2.8516666666666666,3.0,3.1,0.0,8.92857142857142,3.3898305084745672,0.22573363431150906,2.748047439976853,0.9664582148948275,-9.6045197740113,-20.26578073089701,-19.732441471571917,1.8052359033371657,-13.186139221097825,0.6398862424457974,0.892268295352916,9.669212976728424,2.324060941852113,-481.3091071157809,-82.9892050555771,-431.1600181108629,-0.8975624042770081,-5.520242082316596,-2.5887918950204702,0.0,0.4296857245746022,0.0,0.0,3.4285714285714475,0.0,11.111111111111116,26.530612244897945,24.99999999999998,-5.000000000000004,-9.375000000000021,-9.523809523809524,29.279999999999998,283837.43570194405,1083.36,4.9283972679486086,1060.2158747544752,31.723840098898144,4.329452560023147,0.8660254037844387,-0.4999999999999998,0,1,0,0,198671.19730416665,341.66447160011455,-1363.4597757667625,1747.9664000000048,0.4000000000000057,0.12549999999999972
2001-05-01,2001,5,6.2,178.0,4.21,7.145,199734.9308,2.5,39770.9466283084,574.504,18.1,6.820000000000001,2.755,6.1,6.0,5.8,5.6,177.6,176.55,175.3,172.5,4.8,5.49,6.51,6.27,7.0775,7.05,7.745,8.515,197649.402,194520.9875,189915.623,181147.5845,1.4620467189244857,-1.3,2.4,7.5,40104.19437682007,40802.34821072843,41839.67804044809,42614.01698458552,574.504,574.504,572.046,572.046,18.1,18.1,17.5,17.5,6.2,4.960000000000001,3.92,5.390000000000001,2.755,2.9,3.2000000000000006,3.0400000000000005,6.133333333333333,6.033333333333334,5.858333333333333,177.6,176.80833333333337,175.80416666666667,4.773333333333333,5.364999999999999,5.941666666666667,7.058166666666666,7.1065,7.546166666666667,197761.92279999997,195432.7465,190727.892725,1.192872833253469,0.5268059103661071,1.288627352090736,40114.18522735722,40639.65220786332,41504.3566182241,574.504,574.0943333333333,573.0701666666668,18.1,18.0,17.75,6.2,5.406666666666667,5.398333333333333,2.8033333333333332,2.9258333333333333,3.0762500000000004,1.6393442622950838,10.71428571428572,3.3333333333333437,0.22522522522523403,3.1884057971014457,0.8212970829793109,-12.291666666666668,-32.854864433811805,-23.31511839708561,0.9537265983751375,-16.089254257193197,1.3475177304964614,1.0551657525379232,10.26088553778093,2.680401414268996,70.99316784070047,-66.66666666666667,-292.30769230769226,-0.8309548507083098,-6.671678845262408,-2.5277995695082045,0.0,0.4296857245746022,0.0,0.0,3.4285714285714475,0.0,10.000000000000009,26.530612244897966,37.5,0.0,-9.375000000000021,-5.000000000000004,26.102,284163.41365926346,1103.6000000000001,5.022131674829975,1078.6788420926646,32.54673876909562,3.956594202898554,0.49999999999999994,-0.8660254037844387,0,1,0,0,200598.034025,843.3881610098344,-1706.4913860098334,2085.5288,0.4000000000000057,0.0674999999999999
2001-06-01,2001,6,6.3,178.6,3.97,7.159999999999999,201958.6422,1.6467258201229908,39456.83369369633,574.504,18.1,8.06,2.755,6.2,6.1,5.9,5.6,178.0,177.2,175.6,173.65,4.21,5.31,6.4,6.53,7.145,6.952,7.382,8.288,199734.9308,195901.4356,191629.4828,182260.1663,2.5,-0.3834282191640781,1.3237094853757143,4.859769874218148,39770.9466283084,40467.41467694319,41523.00935437982,42681.005719893576,574.504,574.504,572.046,572.046,18.1,18.1,17.5,17.5,6.820000000000001,5.58,3.92,6.370000000000001,2.755,2.9,3.2000000000000006,3.0400000000000005,6.2,6.1000000000000005,5.916666666666667,178.0666666666667,177.3083333333333,176.21666666666667,4.326666666666667,4.96,5.728333333333334,7.1275,7.069500000000001,7.452166666666666,199780.99166666667,197154.27306666668,192369.43238333333,1.8695908463491586,0.5806419661573199,1.0208736809161396,39777.32489960827,40295.289597749404,41235.67561604099,574.504,574.504,573.275,18.1,18.1,17.8,7.026666666666667,6.096666666666667,5.539166666666667,2.755,2.8516666666666666,3.0525,1.6129032258064502,12.5,3.2786885245901676,0.3370786516853963,2.8505614742297736,0.7900677200902928,-5.700712589073631,-39.20367534456355,-25.23540489642183,0.20993701889433503,-13.610038610038622,2.9919447640966546,1.1133312491176994,10.807888690047784,3.0919664174222206,-34.130967195080366,-66.11514819129331,-529.4743416937492,-0.789805024124024,-7.554114463367623,-2.4972709309810437,0.0,0.4296857245746022,0.0,0.0,3.4285714285714475,0.0,18.181818181818166,26.530612244897945,44.44444444444444,0.0,-9.375000000000021,-5.000000000000004,25.011,282510.9292468657,1125.1799999999998,5.118470573888577,1092.325654803304,33.22088122781575,4.309438525770226,1.2246467991473532e-16,-1.0,0,0,1,0,202569.94210833334,1060.1467294126217,-1671.4466377459632,2223.7114,0.5999999999999943,0.01499999999999968
2001-07-01,2001,7,6.4,179.2,3.77,7.1275,204256.3119,-0.1568469076626243,39193.01295245248,574.504,18.1,8.68,2.9,6.3,6.1,5.9,5.6,178.6,177.6,175.9,174.8,3.97,4.8,5.98,6.54,7.159999999999999,7.0775,7.0325,8.1475,201958.6422,197649.402,193160.2403,183644.4525,1.6467258201229908,1.4620467189244857,-0.4414925229394795,2.112562833836227,39456.83369369633,40104.19437682007,41170.0,42654.92962225873,574.504,574.504,574.504,572.046,18.1,18.1,18.1,17.5,8.06,6.2,4.960000000000001,6.86,2.755,2.755,3.045,3.2000000000000006,6.3,6.183333333333334,5.983333333333333,178.6,177.85833333333332,176.58333333333334,3.983333333333333,4.591666666666667,5.4975,7.144166666666666,7.085333333333334,7.367166666666667,201983.29496666664,199003.61833333332,194087.08733333333,1.3299596374867886,0.6280829020367957,0.8317562024579023,39473.597758152406,39965.79175649148,40947.18256022381,574.504,574.504,573.4798333333334,18.1,18.1,17.85,7.853333333333334,6.716666666666666,5.690833333333334,2.8033333333333332,2.8275,3.0275,1.5873015873016039,14.285714285714302,4.918032786885251,0.33594624860022737,2.517162471395862,0.9009009009008917,-5.037783375314864,-42.354740061162076,-21.458333333333336,-0.4539106145251215,-12.519177661859471,0.7064641469445521,1.1376931806288404,11.22378548298375,3.342742165240642,-109.52477369006759,-107.42448485557252,-110.72789984289999,-0.6686313029876989,-8.116099828235813,-2.2720352285501733,0.0,0.4296857245746022,0.0,0.0,3.4285714285714475,0.0,7.692307692307687,26.530612244897945,39.99999999999999,5.263157894736836,-9.375000000000021,5.263157894736836,24.128,279348.1998186051,1146.8799999999999,5.211549113302318,1101.1658297930198,33.715167480354125,4.610337528604139,-0.4999999999999997,-0.8660254037844388,0,0,1,0,204577.72481666665,802.7852856626156,-1124.198202329269,2297.6696999999986,0.5999999999999943,-0.03249999999999886
2001-08-01,2001,8,6.6,180.05,3.65,6.95,206618.2835,-1.6,38973.27513401616,574.504,18.1,7.439999999999999,2.9,6.4,6.2,6.0,5.7,179.2,178.0,176.55,174.9,3.77,4.21,5.49,6.5,7.1275,7.145,7.05,8.0275,204256.3119,199734.9308,194520.9875,185187.0921,-0.1568469076626243,2.5,-1.3,0.4,39193.01295245248,39770.9466283084,40802.34821072843,42545.42906402762,574.504,574.504,574.504,572.046,18.1,18.1,18.1,17.5,8.68,6.820000000000001,4.960000000000001,5.88,2.9,2.755,2.9,3.2000000000000006,6.433333333333334,6.283333333333334,6.058333333333334,179.2833333333333,178.4416666666667,177.01250000000002,3.796666666666667,4.284999999999999,5.26,7.079166666666667,7.068666666666666,7.277374999999999,204277.74586666666,201019.83433333333,195873.01995,-0.036707029179878115,0.5780829020367958,0.6650895357912355,39207.707260054995,39660.94624370611,40649.50306605619,574.504,574.504,573.6846666666667,18.1,18.1,17.900000000000002,8.06,7.13,5.820833333333334,2.8516666666666666,2.8275,3.0025,3.124999999999978,15.78947368421051,6.451612903225801,0.4743303571428603,2.9445397369925796,1.1516853932584281,-3.183023872679047,-43.84615384615385,-13.30166270783848,-2.490354261662575,-13.422609778885075,-2.7291812456263,1.1563763087802936,11.572724187724305,3.4462438154558406,920.1029933223674,-500.0,-164.0,-0.5606555910945055,-8.396093325644083,-2.005663837341154,0.0,0.4296857245746022,0.0,0.0,3.4285714285714475,0.0,-14.285714285714302,26.530612244897945,9.090909090909062,0.0,-9.375000000000021,5.263157894736836,24.09,270864.2621814123,1188.33,5.301537599534765,1094.1643214604906,33.68968046020323,4.0054602630074205,-0.8660254037844384,-0.5000000000000004,0,0,1,0,206619.86329583335,444.74212646121987,-446.3219222945768,2361.97159999999,0.8500000000000227,-0.1775000000000002
2001-09-01,2001,9,6.8,180.9,3.07,6.8175,208946.9481,-1.5352523975531147,38818.84641451459,574.504,18.1,6.2,3.045,6.6,6.3,6.1,5.7,180.05,178.6,177.2,175.0,3.65,3.97,5.31,6.52,6.95,7.159999999999999,6.952,7.912000000000001,206618.2835,201958.6422,195901.4356,186771.6998,-1.6,1.6467258201229908,-0.3834282191640781,0.687335890554935,38973.27513401616,39456.83369369633,40467.41467694319,42363.58519979418,574.504,574.504,574.504,572.046,18.1,18.1,18.1,17.5,7.439999999999999,8.06,5.58,4.9,2.9,2.755,2.9,3.3600000000000008,6.599999999999999,6.3999999999999995,6.1499999999999995,180.04999999999998,179.0583333333333,177.5041666666667,3.496666666666666,3.9116666666666666,4.9725,6.965,7.046250000000001,7.186166666666666,206607.18116666668,203194.08641666666,197720.95730833334,-1.0973664350719134,0.386112205638623,0.4798738451155647,38995.04483366108,39386.18486663467,40354.10816728289,574.504,574.504,573.8895,18.1,18.1,17.95,7.44,7.233333333333333,5.929166666666667,2.948333333333333,2.8516666666666666,2.97625,3.0303030303030276,19.298245614035082,7.9365079365079305,0.47209108580950065,3.3714285714285808,1.287793952967542,-15.890410958904111,-52.914110429447845,-22.67002518891689,-1.9064748201438886,-13.833417593528829,-4.783519553072613,1.127037046554502,11.872916680495948,3.4602658365466166,-4.04672515293033,-323.3627573723229,-193.23060213135236,-0.39624260206652107,-8.367419255386366,-1.616924673009601,0.0,0.4296857245746022,0.0,0.0,3.4285714285714475,0.0,-16.66666666666665,26.530612244897945,-23.076923076923084,5.000000000000004,-9.375000000000021,10.526315789473696,20.875999999999998,264647.4854309532,1230.1200000000001,5.382616110453853,1091.6914889490015,33.747262161015016,3.446071428571419,-1.0,-1.8369701987210297e-16,0,0,0,1,208698.2854625,-18.025195413761868,266.68783291376695,2328.6646000000183,0.8499999999999943,-0.13250000000000028
2001-10-01,2001,10,7.0,180.2,2.49,6.6175,211164.9599,-0.4093395453505457,38742.59394908746,574.504,18.1,5.58,3.045,6.8,6.4,6.1,5.7,180.9,179.2,177.6,175.15,3.07,3.77,4.8,6.51,6.8175,7.1275,7.0775,7.795,208946.9481,204256.3119,197649.402,188359.2,-1.5352523975531147,-0.1568469076626243,1.4620467189244857,1.843024164282882,38818.84641451459,39193.01295245248,40104.19437682007,42129.73852508708,574.504,574.504,574.504,572.046,18.1,18.1,18.1,17.5,6.2,8.68,6.2,4.41,3.045,2.9,2.755,3.3600000000000008,6.8,6.55,6.258333333333334,180.38333333333333,179.49166666666667,177.92499999999998,3.0700000000000003,3.526666666666667,4.6375,6.794999999999999,6.969583333333333,7.088041666666666,208910.06383333332,205446.67940000002,199621.4373,-1.1815306476345537,0.07421449492611777,0.2921768693127791,38844.90516587274,39159.251462012566,40071.84611928292,574.504,574.504,574.0943333333333,18.1,18.1,18.0,6.406666666666666,7.13,6.026666666666667,2.996666666666666,2.9,2.9499999999999997,2.941176470588247,22.807017543859654,9.375,-0.3869541182974112,2.88324293462745,0.5580357142857206,-18.892508143322463,-61.75115207373272,-33.9522546419098,-2.9336266960029334,-15.105837075048111,-7.155384075762894,1.0615191177324457,12.10759012567475,3.3823424773195443,-73.3373127439533,-122.2102104401772,160.98030968581787,-0.1964315595906596,-8.039794915847088,-1.1492329102420706,0.0,0.4296857245746022,0.0,0.0,3.4285714285714475,0.0,-9.999999999999998,26.530612244897966,-35.71428571428571,0.0,-9.375000000000021,5.000000000000004,17.43,256379.11545808625,1261.3999999999999,5.450460033148445,1080.8522940514267,33.47795334938491,3.7342570653725495,-0.8660254037844386,0.5000000000000001,0,0,0,1,210816.16330416666,-389.32289871237344,738.1194945456959,2218.0117999999784,-0.700000000000017,-0.20000000000000018
